abw	a b e d a b l i w
abx	a b e ʃ i s
abz	a b e z e
ac	a s e
ac	a s e
aca	a s e a
aca	a s e a
acac	a s e a s e
acad	a s e a d e
acad	a s e a d e
acap	a s e a p e
acap	a s e a p e
acas	a s e a ɛ s i
acaz	a s e a z e
acb	a s e b e
acba	a s e b e a
acbl	a s e b e ɛ l e
acbs	a s e b e ɛ s i
acbsp	a s e b e ɛ s i p e
acc	a s e s e
acca	a s e s e a
accc	a s e s e s e
accj	a s e s e ʒ o t ɐ
accs	a s e s e ɛ s i
accs	a s e s e ɛ s i
acd	a s e d e
acdc	a s e d e s e
acdfcafc	a s e d e ɛ f e s e a ɛ f e s e
ace	a s e e
acf	a s e ɛ f e
acfe	a s e ɛ f e e
acg	a s e ʒ e
acg	a s e ʒ e
acgihs	a s e ʒ e i a ɡ a ɛ s i
ach	a s e a ɡ a
ach	a s e a ɡ a
achp	a s e a ɡ a p e
achr	a s e a ɡ a ɛ ʁ e
achre	a s e a ɡ a ɛ ʁ e e
achs	a s e a ɡ a ɛ s i
achs	a s e a ɡ a ɛ s i
aci	a s e i
acia	a s e i a
acics	a s e i s e ɛ s i
aciga	a s e i ʒ e a
acip	a s e i p e
acis	a s e i ɛ s i
acis	a s e i ɛ s i
acl	a s e ɛ l e
acl	a s e ɛ l e
acla	a s e ɛ l e a
acln	a s e ɛ l e e n e
acls	a s e ɛ l e ɛ s i
acls	a s e ɛ l e ɛ s i
acls	a s e ɛ l e ɛ s i
aclu	a s e ɛ l e u
acm	a s e ẽ m i
acmi	a s e ẽ m i i
acms	a s e ẽ m i ɛ s i
acn	a s e e n e
acos	a s e ɔ ɛ s i
acp	a s e p e
acpa	a s e p e a
acpb	a s e p e b e
acpi	a s e p e i
acpo	a s e p e ɔ
acpp	a s e p e p e
acpsem	a s e p e ɛ s i i ɛ ẽ m i
acq	a s e k e
acr	a s e ɛ ʁ e
acrps	a s e ɛ ʁ e p e ɛ s i
acsa	a s e ɛ s i a
acsac	a s e ɛ s i a s e
acsbr	a s e ɛ s i b e ɛ ʁ e
acscn	a s e ɛ s i s e e n e
acsel	a s e ɛ s i i ɛ ɛ l e
acsi	a s e ɛ s i i
acsia	a s e ɛ s i i a
acsoc	a s e ɛ s i ɔ s e
acsr	a s e ɛ s i ɛ ʁ e
acss	a s e ɛ s i ɛ s i
acsss	a s e ɛ s i ɛ s i ɛ s i
act	a s e t e
actafl	a s e t t a ɛ f e ɛ l e
acu	a s e u
acu	a s e u
acus	a s e u ɛ s i
acus	a s e u ɛ s i
acuv	a s e u v e
acv	a s e v e
acw	a s e d a b l i w
acwa	a s e d a b l i w a
acwm	a s e d a b l i w ẽ m i
acws	a s e d a b l i w ɛ s i
acy	a s e i p i s i l õ
ad	a d e
ad	a d e
adaa	a d e a a
adab	a d e a b e
adac	a d e a s e
adam	a d e a ẽ m i
adasl	a d e a ɛ s i ɛ l e
adata	a d e a t t a
adb	a d e b e
adbac	a d e b e a s e
adbgr	a d e b e ʒ e ɛ ʁ e
adbica	a d e b e i s e a
adc	a d e s e
adc	a d e s e
adc	a d e s e
adca	a d e s e a
adcaf	a d e s e a ɛ f e
adcc	a d e s e s e
adcs	a d e s e ɛ s i
adcs	a d e s e ɛ s i
adcy	a d e s e i p i s i l õ
adda	a d e d e a
adf	a d e ɛ f e
adfs	a d e ɛ f e ɛ s i
adfs	a d e ɛ f e ɛ s i
adg	a d e ʒ e
adgb	a d e ʒ e b e
adh	a d e a ɡ a
adhd	a d e a ɡ a d e
adhm	a d e a ɡ a ẽ m i
adhs	a d e a ɡ a ɛ s i
adiac	a d e i a s e
adk	a d e k a
adk	a d e k a
adl	a d e ɛ l e
adl	a d e ɛ l e
adll	a d e ɛ l e ɛ l e
adls	a d e ɛ l e ɛ s i
adm	a d e ẽ m i
adm	a d e ẽ m i
adm	a d e ẽ m i
admac	a d e ẽ m i a s e
admk	a d e ẽ m i k a
admn	a d e ẽ m i e n e
admn	a d e ẽ m i e n e
adnac	a d e e n e a s e
adnec	a d e n i i ɛ s e
adns	a d e e n e ɛ s i
adp	a d e p e
adp	a d e p e
adp	a d e p e
adpcm	a d e p e s e ẽ m i
adpf	a d e p e ɛ f e
adq	a d e k e
adqs	a d e k e ɛ s i
adr	a d e ɛ ʁ e
adrc	a d e ɛ ʁ e s e
adrp	a d e ɛ ʁ e p e
adrs	a d e ɛ ʁ e ɛ s i
adsb	a d e ɛ s i b e
adsl	a d e ɛ s i ɛ l e
adsr	a d e ɛ s i ɛ ʁ e
adsrs	a d e ɛ s i ɛ ʁ e ɛ s i
adss	a d e ɛ s i ɛ s i
adt	a d e t e
adtg	a d e t t ʒ e
adwa	a d e d a b l i w a
adwc	a d e d a b l i w s e
adx	a d e ʃ i s
ae	a e
ae	a e
aea	a i ɛ a
aebn	a i ɛ b e e n e
aec	a i ɛ s e
aec	a i ɛ s e
aecl	a i ɛ s e ɛ l e
aecr	a i ɛ s e ɛ ʁ e
aecs	a i ɛ s e ɛ s i
aed	a i ɛ d e
aed	a i ɛ d e
aee	a t e e
aef	a i ɛ ɛ f e
aeg	a i ɛ ʒ e
aegis	a i ɛ ʒ e i ɛ s i
aegte	a e ʒ e e
aehl	a i ɛ a ɡ a ɛ l e
aei	a i ɛ i
aeia	a i ɛ i a
aeiou	a i ɛ i ɔ u
aek	a i ɛ k a
aeka	a i ɛ k a a
ael	a i ɛ ɛ l e
ael	a i ɛ ɛ l e
aem	a i ɛ ẽ m i
aema	a i ɛ ẽ m i a
aen	a i ɛ e n e
aeo	a i ɛ ɔ
aep	a i ɛ p e
aepa	a i ɛ p e a
aere	a t e ɛ ʁ e e
aere	a t e ɛ ʁ e e
aern	a i ɛ ɛ ʁ e e n e
aern	a i ɛ ɛ ʁ e e n e
aert	a i ɛ ɛ ʁ e t e
aes	a i ɛ ɛ s i
aes	a i ɛ ɛ s i
aesa	a i ɛ ɛ s i a
aet	a i ɛ t t
aet	a i ɛ t t
aetc	a i ɛ t t s e
aeu	a i ɛ u
aev	a i ɛ v e
aew	a i ɛ d a b l i w
aex	a i ɛ ʃ i s
af	a ɛ f e
af	a ɛ f e
af	a ɛ f e
af	a ɛ f e
af	a ɛ f e
afa	a ɛ f e a
afa	a ɛ f e a
afaf	a ɛ f e a ɛ f e
afap	a ɛ f e a p e
afb	a ɛ f e b e
afc	a ɛ f e s e
afc	a ɛ f e s e
afc	a ɛ f e s e
afca	a ɛ f e s e a
afcec	a ɛ f e s e i ɛ s e
afco	a ɛ f e s e ɔ
afcs	a ɛ f e s e ɛ s i
afcs	a ɛ f e s e ɛ s i
afcsthe	a ɛ f e s e ɛ s i t t a ɡ a e
afd	a ɛ f e d e
afd	a ɛ f e d e
afdb	a ɛ f e d e b e
afdd	a ɛ f e d e d e
afe	a ɛ f e e
afe	a ɛ f e e
aff	a ɛ f e ɛ f e
aff	a ɛ f e ɛ f e
afg	a ɛ f e ʒ e
afgm	a ɛ f e ʒ e ẽ m i
afh	a ɛ f e a ɡ a
afi	a ɛ f e i
afi	a ɛ f e i
afia	a ɛ f e i a
afip	a ɛ f e i p e
afiq	a ɛ f e i k e
afis	a ɛ f e i ɛ s i
afj	a ɛ f e ʒ o t ɐ
afl	a ɛ f e ɛ l e
afl	a ɛ f e ɛ l e
afleg	a ɛ f e ɛ l e i ɛ ʒ e
aflp	a ɛ f e ɛ l e p e
aflpa	a ɛ f e ɛ l e p e a
afls	a ɛ f e ɛ l e ɛ s i
aflua	a ɛ f e ɛ l e u a
afm	a ɛ f e ẽ m i
afma	a ɛ f e ẽ m i a
afmc	a ɛ f e ẽ m i s e
afms	a ɛ f e ẽ m i ɛ s i
afn	a ɛ f e e n e
afnet	a ɛ f e e n e i ɛ t t
afnor	a ɛ f e e n e ɔ ɛ ʁ e
afns	a ɛ f e e n e ɛ s i
afo	a ɛ f e ɔ
afo	a ɛ f e ɔ
afop	a ɛ f e ɔ p e
afp	a ɛ f e p e
afr	a ɛ f e ɛ ʁ e
afr	a ɛ f e ɛ ʁ e
afra	a ɛ f e ɛ ʁ e a
afrc	a ɛ f e ɛ ʁ e s e
afrl	a ɛ f e ɛ ʁ e ɛ l e
afrotc	a ɛ f e ɛ ʁ e ɔ t e s e
afrts	a ɛ f e ɛ ʁ e t e ɛ s i
afs	a ɛ f e ɛ s i
afsc	a ɛ f e ɛ s i s e
afspc	a ɛ f e ɛ s i p e s e
aft	a ɛ f e t e
aftra	a ɛ f e t t ɛ ʁ e a
aftras	a ɛ f e t t ɛ ʁ e a ɛ s i
aftrs	a ɛ f e t t ɛ ʁ e ɛ s i
afv	a ɛ f e v e
afw	a ɛ f e d a b l i w
afws	a ɛ f e d a b l i w ɛ s i
afx	a ɛ f e ʃ i s
ag	a ʒ e
ag	a ʒ e
agb	a ʒ e b e
agc	a ʒ e s e
agco	a ʒ e s e ɔ
agco	a ʒ e s e ɔ
agd	a ʒ e d e
agda	a ʒ e d e a
age	a ʒ e e
agf	a ʒ e ɛ f e
agg	a ʒ e ʒ e
agi	a ʒ e i
agi	a ʒ e i
agid	a ʒ e i d e
agir	a ʒ e i ɛ ʁ e
agis	a ʒ e i ɛ s i
agj	a ʒ e ʒ o t ɐ
agk	a ʒ e k a
agl	a ʒ e ɛ l e
agli	a ʒ e ɛ l e i
agm	a ʒ e ẽ m i
agn	a ʒ e e n e
agn	a ʒ e e n e
agn	a ʒ e e n e
agns	a ʒ e e n e ɛ s i
agp	a ʒ e p e
agp	a ʒ e p e
agpl	a ʒ e p e ɛ l e
agps	a ʒ e p e ɛ s i
agpw	a ʒ e p e d a b l i w
agrs	a ʒ e ɛ ʁ e ɛ s i
ags	a ʒ e ɛ s i
agsm	a ʒ e ɛ s i ẽ m i
agsu	a ʒ e ɛ s i u
agt	a ʒ e t e
agt	a ʒ e t e
agte	a ʒ e e
agu	a ʒ e u
agu	a ʒ e u
agv	a ʒ e v e
ah	a a ɡ a
ah	a a ɡ a
aha	a a ɡ a a
ahc	a a ɡ a s e
ahc	a a ɡ a s e
ahd	a a ɡ a d e
ahdhra	a a ɡ a d e a ɡ a ɛ ʁ e a
ahdr	a a ɡ a d e ɛ ʁ e
ahe	a a ɡ a e
ahe	a a ɡ a e
ahec	a a ɡ a i ɛ s e
ahf	a a ɡ a ɛ f e
ahirs	a a ɡ a i ɛ ʁ e ɛ s i
ahk	a a ɡ a k a
ahls	a a ɡ a ɛ l e ɛ s i
ahp	a a ɡ a p e
ahrc	a a ɡ a ɛ ʁ e s e
ahrs	a a ɡ a ɛ ʁ e ɛ s i
ahsaa	a a ɡ a ɛ s i a a
ahsai	a a ɡ a ɛ s i a i
aht	a a ɡ a t e
aht	a a ɡ a t e
ahta	a a ɡ a t t a
ahtd	a a ɡ a t t d e
ahu	a a ɡ a u
ahv	a a ɡ a v e
ahva	a a ɡ a v e a
ai	a i
ai	a i
ai	a i
aia	a i a
aiaa	a i a a
aiap	a i a p e
aias	a i a ɛ s i
aias	a i a ɛ s i
aiatsis	a i a t e ɛ s i i ɛ s i
aiaw	a i a d a b l i w
aiawu	a i a d a b l i w u
aib	a i b e
aiba	a i b e a
aibos	a i b e ɔ ɛ s i
aibs	a i b e ɛ s i
aic	a i s e
aicar	a i s e a ɛ ʁ e
aicc	a i s e s e
aicccr	a i s e s e s e ɛ ʁ e
aici	a i s e i
aicme	a i s e ẽ m i e
aicn	a i s e e n e
aicp	a i s e p e
aicpa	a i s e p e a
aicps	a i s e p e ɛ s i
aics	a i s e ɛ s i
aicte	a i s e e
aicuf	a i s e u ɛ f e
aida	a i d e a
aidn	a i d e e n e
aiec	a ɛ s e
aiee	a ɛ e
aiel	a ɛ ɛ l e
aiep	a ɛ p e
aif	a i ɛ f e
aifa	a i ɛ f e a
aifb	a i ɛ f e b e
aife	a i ɛ f e e
aiff	a i ɛ f e ɛ f e
aifm	a i ɛ f e ẽ m i
aifmd	a i ɛ f e ẽ m i d e
aig	a i ʒ e
aig	a i ʒ e
aigis	a i ʒ e i ɛ s i
aih	a i a ɡ a
aiha	a i a ɡ a a
aihl	a i a ɡ a ɛ l e
aiims	a i i ẽ m i ɛ s i
aija	a i ʒ o t ɐ a
aik	a i k a
aik	a i k a
aikr	a i k a ɛ ʁ e
aim	a i ẽ m i
aip	a i p e
air	a i ɛ ʁ e
ais	a i ɛ s i
aisc	a i ɛ s i s e
aisd	a i ɛ s i d e
aisri	a i ɛ s i ɛ ʁ e i
aist	a i ɛ s i t e
aist	a i ɛ s i t e
aits	a i t e ɛ s i
aitu	a i t t u
aiud	a i u d e
aius	a i u ɛ s i
aivc	a i v e s e
aiw	a i d a b l i w
aix	a i ʃ i s
aj	a ʒ o t ɐ
aj	a ʒ o t ɐ
ajb	a ʒ o t ɐ b e
ajba	a ʒ o t ɐ b e a
ajc	a ʒ o t ɐ s e
aje	a ʒ o t ɐ e
ajgc	a ʒ o t ɐ ʒ e s e
ajj	a ʒ o t ɐ ʒ o t ɐ
ajk	a ʒ o t ɐ k a
ajk	a ʒ o t ɐ k a
ajkf	a ʒ o t ɐ k a ɛ f e
ajl	a ʒ o t ɐ ɛ l e
ajm	a ʒ o t ɐ ẽ m i
ajmi	a ʒ o t ɐ ẽ m i i
ajn	a ʒ o t ɐ e n e
ajo	a ʒ o t ɐ ɔ
ajok	a ʒ o t ɐ ɔ k a
ajp	a ʒ o t ɐ p e
ajp	a ʒ o t ɐ p e
ajpw	a ʒ o t ɐ p e d a b l i w
ajr	a ʒ o t ɐ ɛ ʁ e
ajr	a ʒ o t ɐ ɛ ʁ e
ajs	a ʒ o t ɐ ɛ s i
ajs	a ʒ o t ɐ ɛ s i
ajsa	a ʒ o t ɐ ɛ s i a
ajt	a ʒ o t ɐ t e
ajt	a ʒ o t ɐ t e
ajt	a ʒ o t ɐ t e
aju	a ʒ o t ɐ u
ajufe	a ʒ o t ɐ u ɛ f e e
ajusco	a ʒ o t ɐ u ɛ s i s e ɔ
ajv	a ʒ o t ɐ v e
ajw	a ʒ o t ɐ d a b l i w
ajwrc	a ʒ o t ɐ d a b l i w ɛ ʁ e s e
ak	a k a
ak	a k a
ak	a k a
aka	a k a a
aka	a k a a
aka	a k a a
aka	a k a a
aka	a k a a
aka	a k a a
akaa	a k a a a
akap	a k a a p e
akaps	a k a a p e ɛ s i
akas	a k a a ɛ s i
akas	a k a a ɛ s i
akb	a k a b e
akc	a k a s e
akcr	a k a s e ɛ ʁ e
akd	a k a d e
akg	a k a ʒ e
akgs	a k a ʒ e ɛ s i
akh	a k a a ɡ a
akh	a k a a ɡ a
akhs	a k a a ɡ a ɛ s i
akm	a k a ẽ m i
akn	a k a e n e
akp	a k a p e
akpa	a k a p e a
akpd	a k a p e d e
akqa	a k a k e a
akr	a k a ɛ ʁ e
aks	a k a ɛ s i
aks	a k a ɛ s i
aku	a k a u
aku	a k a u
akw	a k a d a b l i w
al	a ɛ l e
al	a ɛ l e
aldf	a ɛ l e d e ɛ f e
aldh	a ɛ l e d e a ɡ a
alds	a ɛ l e d e ɛ s i
aldt	a ɛ l e d e t e
alfasid	a ɛ l e ɛ f e a ɛ s i i d e
alfidi	a ɛ l e ɛ f e i d e i
alftp	a ɛ l e ɛ f e t t p e
alh	a ɛ l e a ɡ a
alh	a ɛ l e a ɡ a
alm	a ɛ l e ẽ m i
alp	a ɛ l e p e
alpg	a ɛ l e p e ʒ e
alr	a ɛ l e ɛ ʁ e
alsc	a ɛ l e ɛ s i s e
alsf	a ɛ l e ɛ s i ɛ f e
alsp	a ɛ l e ɛ s i p e
alus	a ɛ l e u ɛ s i
alv	a ɛ l e v e
alvf	a ɛ l e v e ɛ f e
alw	a ɛ l e d a b l i w
alws	a ɛ l e d a b l i w ɛ s i
am	a ẽ m i
am	a ẽ m i
am	a ẽ m i
am	a ẽ m i
ama	a ẽ m i a
amaa	a ẽ m i a a
amap	a ẽ m i a p e
amarc	a ẽ m i a ɛ ʁ e s e
amas	a ẽ m i a ɛ s i
amb	a ẽ m i b e
amb	a ẽ m i b e
amb	a ẽ m i b e
ambx	a ẽ m i b e ʃ i s
amc	a ẽ m i s e
amc	a ẽ m i s e
amcs	a ẽ m i s e ɛ s i
amcs	a ẽ m i s e ɛ s i
amd	a ẽ m i d e
amd	a ẽ m i d e
amda	a ẽ m i d e a
amdh	a ẽ m i d e a ɡ a
amdisa	a ẽ m i d e i ɛ s i a
amds	a ẽ m i d e ɛ s i
ame	a ẽ m i e
amf	a ẽ m i ɛ f e
amg	a ẽ m i ʒ e
amg	a ẽ m i ʒ e
amgtv	a ẽ m i ʒ e t t v e
amh	a ẽ m i a ɡ a
amha	a ẽ m i a ɡ a a
amhs	a ẽ m i a ɡ a ɛ s i
amj	a ẽ m i ʒ o t ɐ
amj	a ẽ m i ʒ o t ɐ
amk	a ẽ m i k a
amk	a ẽ m i k a
amk	a ẽ m i k a
aml	a ẽ m i ɛ l e
aml	a ẽ m i ɛ l e
amli	a ẽ m i ɛ l e i
amls	a ẽ m i ɛ l e ɛ s i
amlwch	a ẽ m i ɛ l e d a b l i w s e a ɡ a
amm	a ẽ m i ẽ m i
amm	a ẽ m i ẽ m i
amm	a ẽ m i ẽ m i
ammayi	a ẽ m i ẽ m i a i p i s i l õ i
ammb	a ẽ m i ẽ m i b e
ammk	a ẽ m i ẽ m i k a
amn	a ẽ m i e n e
amnh	a ẽ m i e n e a ɡ a
amnrl	a ẽ m i e n e ɛ ʁ e ɛ l e
ampk	a ẽ m i p e k a
ampl	a ẽ m i p e ɛ l e
amps	a ẽ m i p e ɛ s i
ampt	a ẽ m i p e t e
amptp	a ẽ m i p e t t p e
amr	a ẽ m i ɛ ʁ e
amr	a ẽ m i ɛ ʁ e
amref	a ẽ m i ɛ ʁ e i ɛ ɛ f e
ams	a ẽ m i ɛ s i
amsa	a ẽ m i ɛ s i a
amsl	a ẽ m i ɛ s i ɛ l e
amsos	a ẽ m i ɛ s i ɔ ɛ s i
amsrs	a ẽ m i ɛ s i ɛ ʁ e ɛ s i
amss	a ẽ m i ɛ s i ɛ s i
amss	a ẽ m i ɛ s i ɛ s i
amsu	a ẽ m i ɛ s i u
amt	a ẽ m i t e
amt	a ẽ m i t e
amt	a ẽ m i t e
amt	a ẽ m i t e
amta	a ẽ m i t t a
amtb	a ẽ m i t t b e
amtpat	a ẽ m i t t p e a t e
amts	a ẽ m i t e ɛ s i
amtv	a ẽ m i t t v e
amu	a ẽ m i u
amu	a ẽ m i u
amus	a ẽ m i u ɛ s i
amvm	a ẽ m i v e ẽ m i
amw	a ẽ m i d a b l i w
amx	a ẽ m i ʃ i s
amyf	a ẽ m i i p i s i l õ ɛ f e
an	a e n e
an	a e n e
anb	a e n e b e
anbo	a e n e b e ɔ
anc	a e n e s e
ancc	a e n e s e s e
ancs	a e n e s e ɛ s i
andfhl	a e n e d e ɛ f e a ɡ a ɛ l e
andoc	a e n e d e ɔ s e
andp	a e n e d e p e
andpop	a e n e d e p e ɔ p e
andppp	a e n e d e p e p e p e
anej	a n i i ɛ ʒ o t ɐ
anelfa	a n i i ɛ ɛ l e ɛ f e a
anf	a e n e ɛ f e
anfis	a e n e ɛ f e i ɛ s i
anfps	a e n e ɛ f e p e ɛ s i
angb	a e n e ʒ e b e
angptl	a e n e ʒ e p e t t ɛ l e
angrau	a e n e ʒ e ɛ ʁ e a u
angti	a e n e ʒ e t t i
angu	a e n e ʒ e u
anhe	a e n e a ɡ a e
ani	a n
anl	a e n e ɛ l e
anm	a e n e ẽ m i
anp	a e n e p e
anpp	a e n e p e p e
anpr	a e n e p e ɛ ʁ e
anr	a e n e ɛ ʁ e
anr	a e n e ɛ ʁ e
anrc	a e n e ɛ ʁ e s e
anrefs	a n i ɛ ʁ e i ɛ ɛ f e ɛ s i
anrep	a e n e ɛ ʁ e i ɛ p e
anrs	a e n e ɛ ʁ e ɛ s i
anrw	a e n e ɛ ʁ e d a b l i w
ans	a e n e ɛ s i
ans	a e n e ɛ s i
ansf	a e n e ɛ s i ɛ f e
antb	a e n e t t b e
antm	a e n e t t ẽ m i
antv	a e n e t t v e
anuga	a e n e u ʒ e a
anwb	a e n e d a b l i w b e
anx	a e n e ʃ i s
anz	a e n e z e
ao	a ɔ
ao	a ɔ
aoa	a ɔ a
aoac	a ɔ a s e
aob	a ɔ b e
aoc	a ɔ s e
aocb	a ɔ s e b e
aoccs	a ɔ s e s e ɛ s i
aoce	a ɔ s e e
aod	a ɔ d e
aodh	a ɔ d e a ɡ a
aodla	a ɔ d e ɛ l e a
aodv	a ɔ d e v e
aoe	a ɔ e
aogcc	a ɔ ʒ e s e s e
aogo	a ɔ ʒ e ɔ
aoh	a ɔ a ɡ a
aoke	a ɔ k a e
aoko	a ɔ k a ɔ
aokp	a ɔ k a p e
aol	a ɔ ɛ l e
aol	a ɔ ɛ l e
aola	a ɔ ɛ l e a
aols	a ɔ ɛ l e ɛ s i
aoltv	a ɔ ɛ l e t t v e
aom	a ɔ ẽ m i
aomc	a ɔ ẽ m i s e
aonb	a ɔ e n e b e
aone	a ɔ e n e e
aoni	a ɔ n
aoos	a ɔ ɔ ɛ s i
aop	a ɔ p e
aopa	a ɔ p e a
aor	a ɔ ɛ ʁ e
aor	a ɔ ɛ ʁ e
aors	a ɔ ɛ ʁ e ɛ s i
aors	a ɔ ɛ ʁ e ɛ s i
aos	a ɔ ɛ s i
aos	a ɔ ɛ s i
aos	a ɔ ɛ s i
aotus	a ɔ t t u ɛ s i
aotw	a ɔ t t d a b l i w
aov	a ɔ v e
aovf	a ɔ v e ɛ f e
aowc	a ɔ d a b l i w s e
ap	a p e
ap	a p e
apb	a p e b e
apba	a p e b e a
apbl	a p e b e ɛ l e
apc	a p e s e
apc	a p e s e
apca	a p e s e a
apccr	a p e s e s e ɛ ʁ e
apch	a p e s e a ɡ a
apcr	a p e s e ɛ ʁ e
apcrda	a p e s e ɛ ʁ e d e a
apcs	a p e s e ɛ s i
apcs	a p e s e ɛ s i
apd	a p e d e
apda	a p e d e a
apdm	a p e d e ẽ m i
apegbc	a p e i ɛ ʒ e b e s e
apf	a p e ɛ f e
apfa	a p e ɛ f e a
apfct	a p e ɛ f e s e t e
apfol	a p e ɛ f e ɔ ɛ l e
apfsds	a p e ɛ f e ɛ s i d e ɛ s i
apfutu	a p e ɛ f e u t t u
apg	a p e ʒ e
apg	a p e ʒ e
apgaw	a p e ʒ e a d a b l i w
aph	a p e a ɡ a
aph	a p e a ɡ a
aph	a p e a ɡ a
apheda	a p e a ɡ a i ɛ d e a
aphl	a p e a ɡ a ɛ l e
api	a p e i
api	a p e i
api	a p e i
apiao	a p e i a ɔ
apic	a p e i s e
apicv	a p e i s e v e
apis	a p e i ɛ s i
apj	a p e ʒ o t ɐ
apj	a p e ʒ o t ɐ
apl	a p e ɛ l e
apl	a p e ɛ l e
aplp	a p e ɛ l e p e
apls	a p e ɛ l e ɛ s i
aplu	a p e ɛ l e u
apm	a p e ẽ m i
apml	a p e ẽ m i ɛ l e
apmr	a p e ẽ m i ɛ ʁ e
apmso	a p e ẽ m i ɛ s i ɔ
apn	a p e e n e
apnc	a p e e n e s e
apphttp	a p e p e a ɡ a t p e
appl	a p e p e ɛ l e
appos	a p e p e ɔ ɛ s i
appr	a p e p e ɛ ʁ e
appts	a p e p e t e ɛ s i
appu	a p e p e u
appu	a p e p e u
apras	a p e ɛ ʁ e a ɛ s i
aprc	a p e ɛ ʁ e s e
aprs	a p e ɛ ʁ e ɛ s i
aprs	a p e ɛ ʁ e ɛ s i
aprst	a p e ɛ ʁ e ɛ s i t e
aps	a p e ɛ s i
aps	a p e ɛ s i
aps	a p e ɛ s i
apsf	a p e ɛ s i ɛ f e
apsl	a p e ɛ s i ɛ l e
apta	a p e t t a
apw	a p e d a b l i w
apx	a p e ʃ i s
apxs	a p e ʃ i s ɛ s i
aqa	a k e a
aqa	a k e a
aqc	a k e s e
aqi	a k e i
aql	a k e ɛ l e
aqp	a k e p e
aqr	a k e ɛ ʁ e
ar	a ɛ ʁ e
ar	a ɛ ʁ e
ara	a ɛ ʁ e a
arb	a ɛ ʁ e b e
ard	a ɛ ʁ e d e
ardf	a ɛ ʁ e d e ɛ f e
are	a ɛ ʁ e e
arf	a ɛ ʁ e ɛ f e
arf	a ɛ ʁ e ɛ f e
arg	a ɛ ʁ e ʒ e
argr	a ɛ ʁ e ʒ e ɛ ʁ e
args	a ɛ ʁ e ʒ e ɛ s i
argt	a ɛ ʁ e ʒ e t e
arh	a ɛ ʁ e a ɡ a
arj	a ɛ ʁ e ʒ o t ɐ
arl	a ɛ ʁ e ɛ l e
arlfc	a ɛ ʁ e ɛ l e ɛ f e s e
arm	a ɛ ʁ e ẽ m i
armv	a ɛ ʁ e ẽ m i v e
arnd	a ɛ ʁ e e n e d e
arng	a ɛ ʁ e e n e ʒ e
arnt	a ɛ ʁ e e n e t e
arp	a ɛ ʁ e p e
arq	a ɛ ʁ e k e
artl	a ɛ ʁ e t t ɛ l e
aru	a ɛ ʁ e u
arv	a ɛ ʁ e v e
